,,POS,NO,DRIVER,CAR,FASTEST_LAP,TIME_OF_DAY,FINISH_TIME,AVG_SPEED,
0,,1,33,Max Verstappen,RED BULL RACING HONDA,39,18:02:08,1:26.103,220.800,
1,,2,11,Sergio Perez,RED BULL RACING HONDA,51,18:19:56,1:26.419,219.993,
2,,3,44,Lewis Hamilton,MERCEDES,43,18:07:40,1:26.615,219.495,
3,,4,4,Lando Norris,MCLAREN MERCEDES,58,18:34:38,1:26.762,219.123,
4,,5,77,Valtteri Bottas,MERCEDES,51,18:20:28,1:26.862,218.871,
5,,6,10,Pierre Gasly,ALPHATAURI HONDA,49,18:17:43,1:27.342,217.668,
6,,7,22,Yuki Tsunoda,ALPHATAURI HONDA,50,18:19:08,1:27.496,217.285,
7,,8,14,Fernando Alonso,ALPINE RENAULT,58,18:34:40,1:27.607,217.010,
8,,9,55,Carlos Sainz,FERRARI,51,18:20:24,1:27.618,216.982,
9,,10,31,Esteban Ocon,ALPINE RENAULT,58,18:34:43,1:28.249,215.431,
10,,11,5,Sebastian Vettel,ASTON MARTIN MERCEDES,58,18:34:46,1:28.303,215.299,
11,,12,16,Charles Leclerc,FERRARI,40,18:04:37,1:28.433,214.983,
12,,13,18,Lance Stroll,ASTON MARTIN MERCEDES,48,18:16:44,1:28.567,214.657,
13,,14,3,Daniel Ricciardo,MCLAREN MERCEDES,48,18:16:28,1:28.723,214.280,
14,,15,6,Nicholas Latifi,WILLIAMS MERCEDES,30,17:49:38,1:29.293,212.912,
15,,16,99,Antonio Giovinazzi,ALFA ROMEO RACING FERRARI,33,17:53:42,1:29.442,212.557,
16,,17,47,Mick Schumacher,HAAS FERRARI,42,18:08:15,1:29.457,212.522,
17,,18,7,Kimi Räikkönen,ALFA ROMEO RACING FERRARI,23,17:38:51,1:29.698,211.951,
18,,19,63,George Russell,WILLIAMS MERCEDES,23,17:38:42,1:30.647,209.732,
