,,NO,LAP,TIME_OF_DAY,TIME,AVG_SPEED,
0,,33,39,18:02:08,1:26.103,220.800,
1,,11,51,18:19:56,1:26.419,219.993,
2,,44,43,18:07:40,1:26.615,219.495,
3,,4,58,18:34:38,1:26.762,219.123,
4,,77,51,18:20:28,1:26.862,218.871,
5,,10,49,18:17:43,1:27.342,217.668,
6,,22,50,18:19:08,1:27.496,217.285,
7,,14,58,18:34:40,1:27.607,217.010,
8,,55,51,18:20:24,1:27.618,216.982,
9,,31,58,18:34:43,1:28.249,215.431,
10,,5,58,18:34:46,1:28.303,215.299,
11,,16,40,18:04:37,1:28.433,214.983,
12,,18,48,18:16:44,1:28.567,214.657,
13,,3,48,18:16:28,1:28.723,214.280,
14,,6,30,17:49:38,1:29.293,212.912,
15,,99,33,17:53:42,1:29.442,212.557,
16,,47,42,18:08:15,1:29.457,212.522,
17,,7,23,17:38:51,1:29.698,211.951,
18,,63,23,17:38:42,1:30.647,209.732,
