,NO,TIME_PRACTICE3,GAP_PRACTICE3,LAPS_PRACTICE3
0,44,1:23.274,0,23
1,33,1:23.488,+0.214s,23
2,77,1:24.025,+0.751s,21
3,11,1:24.047,+0.773s,21
4,4,1:24.106,+0.832s,17
5,22,1:24.223,+0.949s,22
6,10,1:24.251,+0.977s,22
7,55,1:24.595,+1.321s,20
8,3,1:24.733,+1.459s,16
9,16,1:24.758,+1.484s,21
10,18,1:24.821,+1.547s,22
11,31,1:24.834,+1.560s,18
12,7,1:25.037,+1.763s,23
13,99,1:25.048,+1.774s,18
14,14,1:25.094,+1.820s,19
15,5,1:25.115,+1.841s,25
16,63,1:25.220,+1.946s,22
17,6,1:25.322,+2.048s,19
18,47,1:25.340,+2.066s,18
19,9,1:26.332,+3.058s,19
